Cohort Year,School,Conference,Sport,State,GSR
2012,University of Akron,Mid-American Conference,Football,OH,75
2012,University of Alabama,Southeastern Conference,Football,AL,85
2012,Appalachian State University,Sun Belt Conference,Football,NC,75
2012,Arizona State University,Pac-12 Conference,Football,AZ,75
2012,University of Arizona,Pac-12 Conference,Football,AZ,76
2012,Arkansas State University,Sun Belt Conference,Football,AR,80
2012,"University of Arkansas, Fayetteville",Southeastern Conference,Football,AR,67
2012,Auburn University,Southeastern Conference,Football,AL,76
2012,Ball State University,Mid-American Conference,Football,IN,73
2012,Baylor University,Big 12 Conference,Football,TX,90
2012,Boise State University,Mountain West Conference,Football,ID,87
2012,Boston College,Atlantic Coast Conference,Football,MA,90
2012,Bowling Green State University,Mid-American Conference,Football,OH,80
2012,Brigham Young University,Independent,Football,UT,64
2012,"University at Buffalo, the State University of New York",Mid-American Conference,Football,NY,79
2012,"University of California, Berkeley",Pac-12 Conference,Football,CA,75
2012,"University of California, Los Angeles",Pac-12 Conference,Football,CA,86
2012,University of Central Florida,American Athletic Conference,Football,FL,84
2012,Central Michigan University,Mid-American Conference,Football,MI,77
2012,University of Cincinnati,American Athletic Conference,Football,OH,85
2012,Clemson University,Atlantic Coast Conference,Football,SC,81
2012,Coastal Carolina University,Sun Belt Conference,Football,SC,79
2012,Colorado State University,Mountain West Conference,Football,CO,77
2012,"University of Colorado, Boulder",Pac-12 Conference,Football,CO,83
2012,University of Connecticut,American Athletic Conference,Football,CT,81
2012,Duke University,Atlantic Coast Conference,Football,NC,96
2012,East Carolina University,American Athletic Conference,Football,NC,76
2012,Eastern Michigan University,Mid-American Conference,Football,MI,69
2012,Florida Atlantic University,Conference USA,Football,FL,70
2012,Florida International University,Conference USA,Football,FL,69
2012,Florida State University,Atlantic Coast Conference,Football,FL,60
2012,University of Florida,Southeastern Conference,Football,FL,79
2012,Georgia Institute of Technology,Atlantic Coast Conference,Football,GA,87
2012,University of Georgia,Southeastern Conference,Football,GA,64
2012,Georgia State University,Sun Belt Conference,Football,GA,74
2012,Georgia Southern University,Sun Belt Conference,Football,GA,67
2012,"University of Hawaii, Manoa",Mountain West Conference,Football,HI,77
2012,University of Houston,American Athletic Conference,Football,TX,69
2012,University of Illinois Urbana-Champaign,Big Ten Conference,Football,IL,87
2012,"Indiana University, Bloomington",Big Ten Conference,Football,IN,87
2012,Iowa State University,Big 12 Conference,Football,IA,87
